iter,type,batch_size,num_tokens,max_seq_len,t_start_ms,t_end_ms,duration_ms
466,decode,66,72,285,46151.703,46152.269,0.566
467,decode,47,48,286,46163.475,46163.941,0.467
468,prefill,56,8192,265,46182.211,46194.431,12.22
469,prefill,36,8192,264,46206.848,46218.786,11.938
470,decode,128,128,287,46521.996,46522.813,0.817
471,decode,100,104,288,46851.382,46852.097,0.716
472,decode,79,80,273,46866.335,46866.936,0.602
473,decode,56,56,274,46876.518,46877.02,0.502
474,decode,42,48,270,46887.479,46887.943,0.464
475,prefill,60,8192,261,46907.303,46919.525,12.222
476,prefill,47,8192,266,46933.317,46945.275,11.958
477,decode,134,136,271,47252.656,47253.679,1.023
478,decode,117,120,272,47580.59,47581.423,0.833
479,decode,100,104,273,47599.141,47599.879,0.738
480,decode,82,88,274,47607.961,47608.594,0.633
481,decode,63,64,275,47619.951,47620.466,0.515
482,prefill,54,8192,271,47639.26,47651.922,12.662
483,prefill,48,8192,271,47667.208,47679.301,12.093
484,decode,151,152,276,47980.369,47981.293,0.924
485,decode,136,136,277,48314.859,48315.716,0.857
486,decode,116,120,278,48331.255,48332.013,0.759
487,decode,97,104,279,48347.189,48347.886,0.697
488,decode,76,80,280,48360.17,48360.773,0.603
489,prefill,40,8192,279,48377.127,48389.459,12.332
490,prefill,38,8192,284,48402.853,48415.115,12.262
491,decode,134,136,285,48718.35,48719.249,0.899
492,decode,112,112,281,49049.894,49050.616,0.723
493,decode,91,96,282,49067.991,49068.647,0.656
494,decode,74,80,283,49079.025,49079.604,0.579
495,decode,58,64,284,49090.942,49091.456,0.515
496,decode,45,48,282,49102.215,49102.675,0.459
497,prefill,49,8192,247,49119.891,49132.19,12.299
498,prefill,37,8192,274,49145.276,49157.845,12.568
499,decode,115,120,283,49461.615,49462.412,0.797
500,decode,99,104,284,49791.872,49792.557,0.685
501,decode,74,80,285,49804.993,49805.567,0.574
502,decode,62,64,286,49814.804,49815.322,0.518
503,decode,52,56,287,49826.275,49826.799,0.524
504,prefill,51,8192,284,49844.802,49857.13,12.328
505,prefill,38,8192,274,49869.287,49881.675,12.388
506,decode,124,128,286,50186.992,50187.815,0.823
507,decode,102,104,287,50518.021,50518.708,0.688
508,decode,80,80,288,50532.221,50532.855,0.634
509,decode,66,72,289,50542.098,50542.646,0.549
510,decode,55,56,290,50553.813,50554.301,0.487
511,prefill,53,8192,280,50573.777,50586.074,12.297
512,prefill,41,8192,269,50599.524,50611.828,12.304
513,decode,134,136,290,50913.167,50914.027,0.859
514,decode,114,120,291,51247.162,51247.99,0.827
515,decode,96,96,292,51264.854,51265.506,0.652
516,decode,82,88,293,51275.496,51276.128,0.632
517,decode,69,72,294,51287.769,51288.324,0.555
518,prefill,41,8192,270,51306.042,51318.471,12.429
519,prefill,42,8192,265,51332.985,51345.082,12.097
520,decode,133,136,295,51649.607,51650.521,0.914
521,decode,115,120,296,51981.205,51982.097,0.892
522,decode,84,88,297,51998.217,51998.849,0.632
523,decode,66,72,298,52008.225,52008.792,0.566
524,decode,55,56,283,52019.178,52019.669,0.491
525,decode,49,56,284,52030.183,52030.666,0.482
526,prefill,46,8192,256,52047.92,52060.313,12.393
527,prefill,40,8192,259,52072.891,52084.666,11.776
528,decode,124,128,285,52388.688,52389.538,0.85
529,decode,102,104,286,52720.693,52721.391,0.698
530,decode,79,80,279,52735.19,52735.785,0.595
531,decode,57,64,277,52745.629,52746.157,0.528
532,decode,41,48,278,52756.972,52757.427,0.455
533,decode,36,40,279,52766.589,52767.034,0.446
