iter_end,module,count,total_ms,mean_ms,min_ms,max_ms
320,gate_up_proj,360,37.6105,0.1045,0.1014,0.1085
320,mlp,360,69.0422,0.1918,0.1853,0.1987
320,o_proj,360,14.8992,0.0414,0.0389,0.0440
320,qkv_proj,360,14.6186,0.0406,0.0379,0.0676
330,attn,360,238.7558,0.6632,0.6410,1.2001
330,attn_kernel,360,202.6404,0.5629,0.5437,0.9953
330,down_proj,360,23.3001,0.0647,0.0604,0.0707
330,gate_up_proj,360,37.7221,0.1048,0.1004,0.2355
330,mlp,360,69.2091,0.1922,0.1864,0.3185
330,o_proj,360,14.8797,0.0413,0.0389,0.0440
330,qkv_proj,360,14.7855,0.0411,0.0379,0.1372
340,attn,360,238.0923,0.6614,0.6431,0.9912
340,attn_kernel,360,202.1919,0.5616,0.5437,0.8479
340,down_proj,360,23.2274,0.0645,0.0604,0.0717
340,gate_up_proj,360,37.5808,0.1044,0.1014,0.1075
340,mlp,360,69.0237,0.1917,0.1853,0.1997
340,o_proj,360,14.8695,0.0413,0.0389,0.0440
340,qkv_proj,360,14.6268,0.0406,0.0379,0.0819
350,attn,360,238.4343,0.6623,0.6431,0.9861
350,attn_kernel,360,202.5175,0.5625,0.5458,0.8305
350,down_proj,360,23.4547,0.0652,0.0604,0.2570
350,gate_up_proj,360,37.7518,0.1049,0.1014,0.2908
350,mlp,360,69.4374,0.1929,0.1864,0.3850
350,o_proj,360,14.8900,0.0414,0.0389,0.0451
350,qkv_proj,360,14.6207,0.0406,0.0379,0.0696
360,attn,360,238.5797,0.6627,0.6390,0.9554
360,attn_kernel,360,202.6977,0.5630,0.5417,0.8151
360,down_proj,360,23.2796,0.0647,0.0594,0.0707
360,gate_up_proj,360,37.5962,0.1044,0.1014,0.1085
360,mlp,360,69.2746,0.1924,0.1864,0.3840
360,o_proj,360,14.8695,0.0413,0.0389,0.0440
360,qkv_proj,360,14.6166,0.0406,0.0379,0.0717
370,attn,360,238.3974,0.6622,0.6451,0.9564
370,attn_kernel,360,202.4663,0.5624,0.5458,0.8202
370,down_proj,360,23.2704,0.0646,0.0604,0.0707
370,gate_up_proj,360,37.5951,0.1044,0.1014,0.1085
370,mlp,360,69.0862,0.1919,0.1864,0.1997
370,o_proj,360,14.8982,0.0414,0.0389,0.0451
370,qkv_proj,360,14.6412,0.0407,0.0379,0.0870
380,attn,360,238.5449,0.6626,0.6431,0.9400
380,attn_kernel,360,202.6598,0.5629,0.5448,0.8028
380,down_proj,360,23.2018,0.0644,0.0594,0.0707
380,gate_up_proj,360,37.6054,0.1045,0.1014,0.1096
380,mlp,360,69.0412,0.1918,0.1864,0.1987
380,o_proj,360,14.8961,0.0414,0.0389,0.0440
380,qkv_proj,360,14.6033,0.0406,0.0379,0.0686
390,attn,360,239.7245,0.6659,0.6431,1.3107
390,attn_kernel,360,203.6941,0.5658,0.5437,1.1387
390,down_proj,360,23.4476,0.0651,0.0604,0.2284
390,gate_up_proj,360,37.6064,0.1045,0.1014,0.1096
390,mlp,360,69.2787,0.1924,0.1864,0.3543
390,o_proj,360,14.8767,0.0413,0.0389,0.0440
390,qkv_proj,360,14.7026,0.0408,0.0379,0.0963
400,attn,360,247.9759,0.6888,0.6420,1.1213
400,attn_kernel,360,211.9752,0.5888,0.5427,0.9390
400,down_proj,360,23.3646,0.0649,0.0604,0.0717
400,gate_up_proj,360,37.5470,0.1043,0.1004,0.1085
400,mlp,360,69.1364,0.1920,0.1874,0.1997
400,o_proj,360,14.8152,0.0412,0.0389,0.0440
400,qkv_proj,360,14.6729,0.0408,0.0379,0.0942
410,attn,360,260.8835,0.7247,0.7025,1.0496
410,attn_kernel,360,225.0353,0.6251,0.6042,0.9062
410,down_proj,360,23.4209,0.0651,0.0604,0.0707
410,gate_up_proj,360,37.7047,0.1047,0.1014,0.2703
410,mlp,360,69.3197,0.1926,0.1874,0.3604
410,o_proj,360,14.7804,0.0411,0.0389,0.0440
410,qkv_proj,360,14.6514,0.0407,0.0379,0.0881
420,attn,360,260.9275,0.7248,0.7025,1.0025
420,attn_kernel,360,225.0783,0.6252,0.6042,0.8643
420,down_proj,360,23.3441,0.0648,0.0594,0.0707
420,gate_up_proj,360,37.5818,0.1044,0.1014,0.1085
420,mlp,360,69.1436,0.1921,0.1864,0.1997
420,o_proj,360,14.8132,0.0411,0.0389,0.0451
420,qkv_proj,360,14.6237,0.0406,0.0379,0.0686
430,attn,360,260.7647,0.7243,0.6994,1.0148
430,attn_kernel,360,224.7987,0.6244,0.6031,0.8622
430,down_proj,360,23.3779,0.0649,0.0604,0.0707
430,gate_up_proj,360,37.5603,0.1043,0.1014,0.1075
430,mlp,360,69.1466,0.1921,0.1864,0.1987
430,o_proj,360,14.9617,0.0416,0.0389,0.1915
430,qkv_proj,360,14.6063,0.0406,0.0379,0.0829
440,attn,360,261.0360,0.7251,0.7014,1.0271
440,attn_kernel,360,225.1674,0.6255,0.6042,0.8786
440,down_proj,360,23.3523,0.0649,0.0604,0.0717
440,gate_up_proj,360,37.7549,0.1049,0.1014,0.2949
440,mlp,360,69.3033,0.1925,0.1864,0.3809
440,o_proj,360,14.8101,0.0411,0.0389,0.0451
440,qkv_proj,360,14.6514,0.0407,0.0389,0.0870
450,attn,360,260.9664,0.7249,0.6984,1.0301
450,attn_kernel,360,225.1940,0.6255,0.6021,0.8929
450,down_proj,360,23.3830,0.0650,0.0594,0.0707
450,gate_up_proj,360,37.5347,0.1043,0.1004,0.1085
450,mlp,360,69.1343,0.1920,0.1874,0.1997
450,o_proj,360,14.7845,0.0411,0.0389,0.0440
450,qkv_proj,360,14.5951,0.0405,0.0379,0.0717
460,attn,360,261.1753,0.7255,0.7025,1.0342
460,attn_kernel,360,225.3793,0.6261,0.6052,0.8868
460,down_proj,360,23.4189,0.0651,0.0604,0.0707
460,gate_up_proj,360,37.5060,0.1042,0.1004,0.1085
460,mlp,360,69.1436,0.1921,0.1874,0.1987
460,o_proj,360,14.7948,0.0411,0.0379,0.0440
460,qkv_proj,360,14.6186,0.0406,0.0379,0.0686
470,attn,360,261.3207,0.7259,0.7004,1.1039
470,attn_kernel,360,225.4633,0.6263,0.6031,0.9390
470,down_proj,360,23.3789,0.0649,0.0604,0.0707
470,gate_up_proj,360,37.5532,0.1043,0.1004,0.1085
470,mlp,360,69.1507,0.1921,0.1864,0.1997
470,o_proj,360,14.7825,0.0411,0.0389,0.0440
470,qkv_proj,360,14.6657,0.0407,0.0379,0.0932
480,attn,360,261.0729,0.7252,0.6984,1.0629
480,attn_kernel,360,225.2626,0.6257,0.6021,0.8991
480,down_proj,360,23.3400,0.0648,0.0604,0.0707
480,gate_up_proj,360,37.5583,0.1043,0.1014,0.1085
480,mlp,360,69.0903,0.1919,0.1864,0.1997
480,o_proj,360,14.7886,0.0411,0.0389,0.0440
480,qkv_proj,360,14.6340,0.0406,0.0379,0.0881
490,attn,360,261.7231,0.7270,0.6984,1.2216
490,attn_kernel,360,225.8278,0.6273,0.6001,1.0127
490,down_proj,360,23.3851,0.0650,0.0604,0.0707
490,gate_up_proj,360,37.5214,0.1042,0.1014,0.1085
490,mlp,360,69.1210,0.1920,0.1864,0.1997
490,o_proj,360,14.8040,0.0411,0.0389,0.0440
490,qkv_proj,360,14.6883,0.0408,0.0379,0.1321
500,attn,360,254.8285,0.7079,0.6676,1.0373
500,attn_kernel,360,219.6664,0.6102,0.5724,0.8950
500,down_proj,360,22.6755,0.0630,0.0594,0.0696
500,gate_up_proj,360,37.4876,0.1041,0.1014,0.1075
500,mlp,360,68.3756,0.1899,0.1843,0.1997
500,o_proj,360,14.2039,0.0395,0.0369,0.0451
500,qkv_proj,360,14.5910,0.0405,0.0379,0.0737
510,attn,360,248.3005,0.6897,0.6666,1.2073
510,attn_kernel,360,213.6320,0.5934,0.5724,0.9882
510,down_proj,360,22.0068,0.0611,0.0594,0.0645
510,gate_up_proj,360,37.4856,0.1041,0.1014,0.1085
510,mlp,360,67.8881,0.1886,0.1843,0.3686
510,o_proj,360,13.5752,0.0377,0.0369,0.0399
510,qkv_proj,360,14.6842,0.0408,0.0379,0.1413
520,attn,360,247.9043,0.6886,0.6636,0.9759
