iter,type,batch_size,num_tokens,max_seq_len,t_start_ms,t_end_ms,duration_ms
445,decode,7,8,34109,100342.803,100343.135,0.332
446,decode,7,8,34110,100370.642,100370.965,0.323
447,decode,7,8,34111,100398.43,100398.736,0.307
448,decode,7,8,34112,100426.213,100426.522,0.309
449,decode,7,8,34113,100454.006,100454.316,0.31
450,decode,7,8,34114,100481.803,100482.136,0.333
451,decode,7,8,34115,100509.547,100509.853,0.306
452,decode,7,8,34116,100537.369,100537.677,0.308
453,decode,7,8,34117,100565.154,100565.462,0.307
454,decode,7,8,34118,100592.877,100593.211,0.333
455,decode,7,8,34119,100620.726,100621.052,0.326
456,decode,7,8,34120,100648.643,100648.993,0.351
457,decode,7,8,34121,100676.416,100676.735,0.319
458,decode,7,8,34122,100704.151,100704.459,0.307
459,decode,7,8,34123,100731.869,100732.196,0.327
460,decode,7,8,34124,100759.801,100760.132,0.331
461,decode,7,8,34125,100787.455,100787.763,0.308
462,decode,7,8,34126,100815.27,100815.581,0.311
463,decode,7,8,34127,100843.095,100843.404,0.308
464,decode,7,8,34128,100870.918,100871.244,0.327
465,decode,7,8,34129,100898.719,100899.045,0.326
466,decode,7,8,34130,100926.549,100926.856,0.307
467,decode,7,8,34131,100954.292,100954.612,0.32
468,decode,7,8,34132,100982.068,100982.379,0.311
469,decode,7,8,34133,101009.757,101010.089,0.331
470,decode,7,8,34134,101037.71,101038.035,0.325
471,decode,7,8,34135,101065.467,101065.781,0.314
472,decode,7,8,34136,101093.342,101093.649,0.307
473,decode,7,8,34137,101121.121,101121.429,0.308
474,decode,7,8,34138,101148.877,101149.213,0.336
475,decode,7,8,34139,101176.632,101176.958,0.325
476,decode,7,8,34140,101204.407,101204.715,0.308
477,decode,7,8,34141,101232.207,101232.514,0.307
478,decode,7,8,34142,101260.088,101260.397,0.308
479,decode,7,8,34143,101287.789,101288.121,0.332
480,decode,7,8,34144,101315.728,101316.054,0.326
481,decode,7,8,34145,101343.452,101343.764,0.312
482,decode,7,8,34146,101371.257,101371.565,0.307
483,decode,7,8,34147,101399.014,101399.327,0.312
484,decode,7,8,34148,101426.815,101427.147,0.333
485,decode,7,8,34149,101454.549,101454.856,0.307
486,prefill,1,8192,8196,101483.49,101495.666,12.176
487,prefill,1,8192,16388,101510.305,101523.191,12.886
488,prefill,1,8192,24580,102146.86,102159.406,12.546
489,prefill,1,8192,32772,103144.072,103156.74,12.668
490,prefill,2,8192,39205,104497.285,104509.532,12.247
491,prefill,1,8192,9955,106199.861,106212.303,12.442
492,prefill,1,8192,18147,107899.36,107911.719,12.359
493,prefill,2,8192,19272,108613.736,108626.32,12.585
494,prefill,1,8192,15263,109688.846,109701.719,12.873
495,prefill,2,8192,17977,110408.729,110421.158,12.428
496,prefill,1,8192,13674,111356.501,111369.628,13.127
497,prefill,1,8192,21866,112142.421,112155.025,12.604
498,prefill,1,8192,30058,113020.061,113032.962,12.901
499,prefill,2,8192,35741,114256.179,114268.783,12.604
500,prefill,1,8192,10705,115843.383,115855.986,12.603
501,prefill,1,8192,18897,117337.276,117349.763,12.487
502,prefill,1,8192,27089,118085.316,118097.849,12.534
503,prefill,2,8192,30320,119193.625,119206.029,12.403
504,prefill,1,8192,13157,120651.3,120664.144,12.844
505,prefill,2,8192,18108,121681.894,121694.32,12.426
506,prefill,1,8192,11437,122538.417,122551.424,13.007
507,prefill,1,8192,19629,123437.033,123449.962,12.929
508,prefill,1,2820,22449,124217.668,124231.416,13.747
509,decode,7,8,39206,125356.982,125357.59,0.608
510,decode,7,8,39207,125880.615,125880.953,0.338
511,decode,7,8,39208,125911.354,125911.663,0.309
512,decode,7,8,39209,125941.049,125941.355,0.306
513,decode,7,8,39210,125972.043,125972.337,0.293
514,decode,7,8,39211,126002.021,126002.318,0.298
515,decode,7,8,39212,126031.964,126032.264,0.3
516,decode,7,8,39213,126062.016,126062.308,0.292
517,decode,7,8,39214,126092.163,126092.453,0.29
518,decode,7,8,39215,126122.451,126122.748,0.297
519,decode,7,8,39216,126152.601,126152.89,0.289
520,decode,7,8,39217,126183.101,126183.405,0.304
