iter,is_decode,batch_size,num_tokens,max_seq_len
212,True,35,35,26563
213,True,35,35,7846
214,True,35,35,7847
215,True,35,35,7848
216,True,35,35,7849
217,True,35,35,7850
218,True,35,35,7851
219,True,35,35,7852
220,True,35,35,7853
221,True,35,35,7854
222,True,35,35,7855
223,True,35,35,7856
224,True,35,35,7857
225,True,35,35,7858
226,True,35,35,7859
227,True,35,35,7860
228,True,35,35,7861
229,True,35,35,7862
230,True,35,35,7863
231,True,35,35,7864
232,True,35,35,7865
233,True,35,35,7866
234,True,35,35,7867
235,True,35,35,7868
236,True,35,35,7869
237,True,35,35,7870
238,True,35,35,26392
239,True,35,35,7872
240,True,35,35,7873
241,True,35,35,7874
242,True,35,35,7875
243,True,35,35,7876
244,True,35,35,7877
245,True,35,35,7878
246,True,35,35,7879
247,True,35,35,7880
248,True,35,35,7881
249,True,35,35,7882
250,True,35,35,7883
251,True,35,35,7884
252,True,35,35,7885
253,True,35,35,7886
254,True,35,35,7887
255,True,35,35,7888
256,True,35,35,7889
257,True,35,35,7890
258,True,35,35,7891
259,True,35,35,7892
260,True,35,35,7893
261,True,35,35,7894
262,True,35,35,7895
263,True,35,35,7896
264,True,35,35,7897
265,True,35,35,7898
266,True,35,35,7899
267,True,35,35,7900
268,True,35,35,7901
269,True,35,35,7902
270,True,35,35,7903
271,True,35,35,7904
272,True,35,35,7905
273,True,35,35,7906
274,True,35,35,7907
275,True,35,35,7908
276,True,35,35,7909
277,True,35,35,7910
278,True,35,35,7911
279,True,35,35,7912
280,True,35,35,7913
281,True,35,35,7914
282,True,35,35,7915
283,True,35,35,7916
284,True,35,35,7917
285,True,35,35,7918
286,True,35,35,7919
287,True,35,35,7920
