iter,type,batch_size,num_tokens,max_seq_len,t_start_ms,t_end_ms,duration_ms
157,decode,35,40,7897,101740.914,101741.313,0.399
158,decode,35,40,7898,101773.105,101773.501,0.397
159,decode,35,40,7899,101805.13,101805.527,0.397
160,decode,35,40,7900,101837.644,101838.06,0.416
161,decode,35,40,7901,101869.51,101869.925,0.415
162,decode,35,40,7902,101901.708,101902.121,0.413
163,decode,35,40,7903,101934.318,101934.783,0.465
164,decode,35,40,7904,101966.229,101966.631,0.401
165,decode,35,40,7905,101998.493,101998.907,0.414
166,decode,35,40,7906,102030.758,102031.178,0.421
167,decode,35,40,7907,102062.997,102063.393,0.397
168,decode,35,40,7908,102095.264,102095.663,0.4
169,decode,35,40,7909,102127.41,102127.826,0.416
170,decode,35,40,7910,102159.68,102160.092,0.413
171,decode,35,40,7911,102191.868,102192.268,0.399
172,decode,35,40,7912,102224.224,102224.623,0.399
173,decode,35,40,7913,102256.386,102256.796,0.41
174,decode,35,40,7914,102288.665,102289.076,0.411
175,decode,35,40,7915,102320.913,102321.319,0.406
176,decode,35,40,7916,102353.214,102353.614,0.4
177,decode,35,40,7917,102385.482,102385.893,0.411
178,decode,35,40,7918,102417.744,102418.157,0.413
179,decode,35,40,7919,102450.047,102450.448,0.401
180,decode,35,40,7920,102482.177,102482.576,0.399
181,decode,35,40,7921,102514.372,102514.778,0.406
182,decode,35,40,7922,102546.613,102547.027,0.413
183,decode,35,40,7923,102578.804,102579.205,0.4
184,decode,35,40,7924,102611.281,102611.712,0.431
185,decode,35,40,7925,102643.386,102643.799,0.413
186,decode,35,40,7926,102675.664,102676.075,0.41
187,decode,35,40,7927,102707.984,102708.386,0.402
188,decode,35,40,7928,102740.112,102740.523,0.41
189,decode,35,40,7929,102772.422,102772.834,0.412
190,decode,35,40,7930,102804.742,102805.157,0.415
191,decode,35,40,7931,102837.008,102837.408,0.4
192,decode,35,40,7932,102869.253,102869.653,0.4
193,decode,35,40,7933,102901.54,102901.947,0.407
194,decode,35,40,7934,102933.941,102934.337,0.396
195,decode,35,40,7935,102966.408,102966.818,0.411
196,decode,35,40,7936,102998.597,102999.005,0.408
197,decode,35,40,7937,103030.86,103031.258,0.398
198,decode,35,40,7938,103062.992,103063.388,0.396
199,prefill,1,8192,8193,103097.984,103110.34,12.356
200,prefill,1,8192,16385,103127.362,103139.426,12.064
201,prefill,1,8192,24577,103762.438,103775.048,12.61
